id_tienda,id_comuna
25,9
85,6
48,6
20,2
81,5
72,6
97,2
84,7
33,4
30,2
83,0
7,9
76,3
50,4
67,1
57,4
19,7
14,2
72,1
59,9
58,5
22,8
27,0
100,0
99,6
10,1
81,2
94,9
71,9
24,3
66,4
86,3
32,2
48,2
101,9
93,1
71,0
47,0
45,6
69,0
63,5
88,8
45,2
59,7
101,7
72,8
13,8
88,7
79,2
88,0
69,6
37,1
32,6
91,8
23,9
35,7
9,9
21,0
62,8
79,9
11,2
52,9
10,6
4,9
35,8
46,0
65,4
62,1
31,4
74,8
28,1
16,6
16,8
40,1
58,1
36,3
23,8
100,9
73,4
96,0
2,8
45,8
6,0
96,7
1,1
91,0
11,9
59,2
60,2
2,1
45,1
90,0
40,5
74,2
94,7
32,8
70,3
18,4
41,4
32,5
23,5
61,5
63,8
43,4
72,5
101,6
19,1
5,1
78,6
49,6
84,9
12,6
11,8
58,9
90,1
77,8
14,1
35,2
68,5
79,6
61,8
53,4
95,1
9,5
10,9
15,5
34,1
82,1
45,9
62,6
77,1
80,3
97,1
95,6
82,0
77,9
84,8
39,8
0,5
82,5
72,2
11,6
29,7
52,1
74,0
8,2
21,2
69,1
56,2
75,9
34,2
14,5
62,5
84,2
5,8
64,4
0,9
40,6
3,6
17,2
79,7
28,7
101,2
67,2
30,0
35,9
15,0
27,5
20,0
96,6
22,0
77,2
27,7
83,6
14,6
15,7
67,9
15,2
87,4
47,5
38,0
26,8
58,8
27,8
93,7
89,4
60,6
84,6
0,0
62,7
4,5
21,8
2,7
35,0
51,1
93,5
25,7
96,8
98,9
55,3
83,7
69,9
26,0
26,7
1,9
38,9
30,9
85,9
40,0
13,9
88,2
63,2
97,8
46,6
101,8
92,6
92,8
44,4
7,2
12,8
78,0
3,0
0,1
22,5
16,5
13,1
17,1
74,5
37,0
74,7
39,5
85,2
46,5
38,2
2,6
10,0
60,9
96,2
13,7
49,5
59,0
8,1
91,7
34,9
98,6
5,0
68,2
29,1
93,8
75,2
6,5
67,0
4,6
85,8
14,8
17,8
10,5
99,0
30,1
61,6
52,7
42,2
81,0
95,2
4,0
2,5
16,1
54,2
51,8
82,9
54,7
34,6
90,9
60,1
83,5
42,0
79,5
29,2
58,2
95,7
56,1
38,5
5,5
22,6
83,8
34,5
0,8
16,2
61,0
47,7
9,0
